show_id;type;title;director;cast;date_added;release_year;listed_in;description;rating;duration;country
s331;Movie;Arendelle Castle Yule Log;;;December 18, 2020;2020;Animation, Family;Set the wintry mood for your holiday celebration with Anna and Elsa’s Arendelle Castle yule log.;TV-G;180 min;United States
s332;Movie;Buried Truth of the Maya;;Josh Bernstein;December 18, 2020;2020;Documentary, Historical;A high-tech archaeological team explores the hidden secrets of Chichen Itza.;TV-PG;48 min;United States
s333;TV Show;Disney Parks Sunrise Series;;;December 18, 2020;2021;Animals & Nature, Docuseries, Family;An inspiring view of Disney Parks few have experienced before, at sunrise. Previously Recorded.;TV-G;1 Season;
s334;Movie;Dory's Reef Cam;Michal Makarewicz;;December 18, 2020;2020;Animation, Family;Dive into the waters below and watch the aquatic wildlife from the world of Nemo and Dory.;TV-G;182 min;United States
s335;Movie;Into the Woods;Rob Marshall;Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman;December 18, 2020;2014;Action-Adventure, Fantasy, Musical;A baker and his wife's desperation to have a child sends them on a quest to reverse a witch’s curse.;PG;126 min;United States
s336;Movie;Miraculous World: New York, United Heroez;Thomas Astruc;Cristina Vee, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Selah Victor, Sabrina Weisz;December 18, 2020;2020;Action-Adventure, Animation, Fantasy;Marinette’s class is headed to New York!;TV-Y7-FV;60 min;United Kingdom
s336;Movie;Miraculous World: New York, United Heroez;Thomas Astruc;Cristina Vee, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Selah Victor, Sabrina Weisz;December 18, 2020;2020;Action-Adventure, Animation, Fantasy;Marinette’s class is headed to New York!;TV-Y7-FV;60 min; United States
s336;Movie;Miraculous World: New York, United Heroez;Thomas Astruc;Cristina Vee, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Selah Victor, Sabrina Weisz;December 18, 2020;2020;Action-Adventure, Animation, Fantasy;Marinette’s class is headed to New York!;TV-Y7-FV;60 min; France
s337;TV Show;On Pointe;;;December 18, 2020;2020;Docuseries, Family;On Pointe follows students during a season in the School of American Ballet (SAB) in New York City.;TV-PG;1 Season;United States
s338;TV Show;Wild Nordic;;Dan Nachtrab;December 18, 2020;2019;Animals & Nature, Docuseries, Reality;As seen by the Viking gods, the fabled wildernesses of Norway, Finland and Sweden are revealed.;TV-PG;1 Season;
s339;Movie;Disney Channel's Epic Holiday Showdown;;;December 11, 2020;2020;Fantasy, Variety;DC stars try to save the holidays from Scrooge.;TV-G;50 min;United States
s34;Movie;Tangled Ever After;Nathan Greno, Byron Howard;Mandy Moore, Zachary Levi, Alan Dale, Paul F. Tompkins, Kari Wahlgren, Mark Allen Stewart;November 12, 2021;2012;Animation, Family;It's up to Max and Pascal to save the royal wedding.;G;9 min;United States
s340;Movie;Disney Holiday Magic Quest;;;December 11, 2020;2020;Movies;ZOMBIES stars race to save the holiday magic!;TV-G;46 min;United States
s341;Movie;Gender Revolution: A Journey With Katie Couric;;Katie Couric;December 11, 2020;2017;Documentary;Katie Couric explores questions about gender identity with experts and everyday people.;TV-14;93 min;United States
s342;Movie;High School Musical: The Musical: The Holiday Special;;Olivia Rodrigo, Joshua Bassett, Sofia Wylie, Matt Cornett, Larry Saperstein, Julia Lester;December 11, 2020;2020;Drama, Music, Romance;The cast of High School Musical: The Musical: The Series celebrates the holidays with music & more!;TV-G;46 min;United States
s343;Movie;Ralph Breaks the Internet;Rich Moore, Phil Johnston;John C. Reilly, Sarah Silverman, Gal Gadot, Jane Lynch, Jack McBrayer, Alan Tudyk;December 11, 2020;2018;Action-Adventure, Animation, Comedy;Ralph and Vanellope are swept into the internet.;PG;116 min;United States
s344;Movie;Safety;Reginald Hudlin;Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave, James Badge Dale, Hunter Sansone;December 11, 2020;2020;Biographical, Drama, Sports;A drama inspired by the empowering story of former Clemson University safety Ray McElrathbey.;PG;123 min;United States
s345;Movie;Anastasia;Don Bluth, Gary Goldman;Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd, Hank Azaria, Bernadette Peters;December 4, 2020;1997;Animation, Family, Fantasy;A girl heads to Paris to learn if she is the long lost princess, Anastasia.;G;95 min;United States
s346;Movie;Godmothered;Sharon Maguire;June Squibb, Jillian Bell, Jane Curtin, Carlease Burke, Sonia Manzano, Erica Parks;December 4, 2020;2020;Comedy, Family, Fantasy;An inexperienced fairy godmother-in-training tries to prove that people still need fairy godmothers.;PG;113 min;United States
s347;Movie;Man vs. Shark;;Jeremiah Sullivan, Dave Hoffman;December 4, 2020;2019;Animals & Nature, Documentary;Marine biologist attempts to get bitten by a deadly tiger shark and survive;TV-PG;45 min;United States
s348;Movie;Mulan;Niki Caro;Yifei Liu, Donnie Yen, Gong Li, Jet Li, Jason Lee, Yoson An;December 4, 2020;2020;Action-Adventure, Coming of Age, Drama;A young woman risks it all to be a great Chinese warrior in Disney’s MULAN.;PG-13;117 min;United States
s348;Movie;Mulan;Niki Caro;Yifei Liu, Donnie Yen, Gong Li, Jet Li, Jason Lee, Yoson An;December 4, 2020;2020;Action-Adventure, Coming of Age, Drama;A young woman risks it all to be a great Chinese warrior in Disney’s MULAN.;PG-13;117 min; Canada
s348;Movie;Mulan;Niki Caro;Yifei Liu, Donnie Yen, Gong Li, Jet Li, Jason Lee, Yoson An;December 4, 2020;2020;Action-Adventure, Coming of Age, Drama;A young woman risks it all to be a great Chinese warrior in Disney’s MULAN.;PG-13;117 min; Hong Kong
s349;Movie;Sky High;Mike Mitchell;Kelly Preston, Lynda Carter, Michael Angarano, Danielle Panabaker, Mary Elizabeth Winstead, Bruce Campbell;December 4, 2020;2005;Action-Adventure, Comedy, Family;It takes inner and outer strength to make a name for yourself when you're the son of heroes.;PG;101 min;United States
s35;Movie;The Ballad of Nessie;Stevie Wermers-Skelton, Kevin Deters;Billy Connolly;November 12, 2021;2011;Animation, Family, Fantasy;A colorful tale about the friendly Loch Ness monster.;G;8 min;
s350;Movie;The Disney Holiday Singalong;;Ryan Seacrest, Andrea Bocelli, BTS , Michael Bublé, Ciara , Chloe x Halle;December 4, 2020;2020;Family, Music, Variety;A festive musical event with more Disney melodies and classic holiday songs.;TV-G;45 min;United States
s351;Movie;The Nutcracker and the Four Realms;Lasse Hallström, Joe Johnston;Keira Knightley, Mackenzie Foy, Eugenio Derbez, Jayden Fowora-Knight, Matthew Macfadyen, Richard Grant;December 4, 2020;2018;Action-Adventure, Family, Fantasy;From Disney comes the reimagined tale of The Nutcracker.;PG;101 min;United States
s352;Movie;Alexander and the Terrible, Horrible, No Good, Very Bad Day;Miguel Arteta;Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette, Kerris Dorsey, Jennifer Coolidge;November 27, 2020;2014;Comedy, Coming of Age, Family;It's one calamity after another during the worst day of Alexander's life.;PG;83 min;United States
s353;Movie;Black Beauty;Ashley Avis;Mackenzie Foy, Kate Winslet, Iain Glen, Calam Lynch, Claire Forlani, Fern Deacon;November 27, 2020;2020;Animals & Nature, Coming of Age, Drama;A wild horse and a teenage girl forge an unbreakable bond which keeps them connected for a lifetime.;TV-PG;111 min;United States
s354;Movie;From Our Family to Yours;Angela Affinita;;November 27, 2020;2020;Animation, Family;A granddaughter brings joy on Christmas by mending a beloved Mickey, evoking memories of the past.;TV-G;3 min;United Kingdom
s355;TV Show;Once Upon a Time in Wonderland;;Sophie Lowe, Michael Socha, Peter Gadiot, Emma Rigby, Naveen Andrews, John Lithgow;November 27, 2020;2013;Action-Adventure, Fantasy, Soap Opera / Melodrama;Alice tells a tale of a strange new land.;TV-PG;1 Season;Canada
s355;TV Show;Once Upon a Time in Wonderland;;Sophie Lowe, Michael Socha, Peter Gadiot, Emma Rigby, Naveen Andrews, John Lithgow;November 27, 2020;2013;Action-Adventure, Fantasy, Soap Opera / Melodrama;Alice tells a tale of a strange new land.;TV-PG;1 Season;United States
s356;TV Show;Party Animals;;;November 27, 2020;2016;Animals & Nature, Kids, Music;This music video series captures the funny moments animals have in their day-to-day lives.;TV-G;1 Season;
s357;Movie;Folklore: the long pond studio sessions;;Taylor Swift, Aaron Dessner, Jack Antonoff, Justin Vernon;November 25, 2020;2020;Documentary, Music;An intimate musical concert featuring Taylor Swift performing every song from “folklore.”;TV-14;107 min;United States
s358;TV Show;Bia;;Isabela Souza, Giulia Guerrini, Julio Peña, Guido Messina, Andrea de Alba, Agustina Palma;November 20, 2020;2019;Coming of Age, Drama, Music;Bia is filled with passion, after the loss of her sister she will rediscover music and find love.;TV-G;1 Season;Argentina
s359;TV Show;Marvel's 616;;;November 20, 2020;2020;Anthology, Docuseries;An anthology documentary series exploring the impact of the Marvel Comics Universe.;TV-14;1 Season;United States
s36;Movie;The Little Matchgirl;Roger Allers;;November 12, 2021;2006;Animation, Drama;A poor matchgirl sees happy images in the flames of her matches.;G;7 min;United States
s360;Movie;Planes;Klay Hall;Dane Cook, Stacy Keach, Brad Garrett, Teri Hatcher, Julia Louis-Dreyfus, Priyanka Chopra;November 20, 2020;2013;Action-Adventure, Animation, Comedy;A crop duster takes on the world’s fastest in the greatest air race ever.;PG;94 min;United States
s361;Movie;Planes: Fire & Rescue;Bobs Gannaway;Dane Cook, Ed Harris, Julie Bowen, Curtis Armstrong, John Higgins, Hal Holbrook;November 20, 2020;2014;Action-Adventure, Animation, Comedy;Air racer Dusty teams up with a dynamic crew of flying firefighters.;PG;85 min;United States
s362;Movie;The Real Right Stuff;;;November 20, 2020;2020;Documentary, Historical;The Real Right Stuff tells the story of the nation’s first astronauts.;TV-PG;90 min;United States
s363;TV Show;The Wonderful World of Mickey Mouse;;Chris Diamantopoulos, Kaitlyn Robrock, Bill Farmer, Tony Anselmo, Tress MacNeille;November 18, 2020;2020;Action-Adventure, Animation, Anthology;It's nothing but fun for Mickey and friends as they embark on their greatest adventures yet.;TV-G;1 Season;United States
s364;Movie;LEGO Star Wars Holiday Special;Ken Cunningham;Helen Sadler, Omar Miller, Jake Green, Kelly Marie Tran, Trevor Devall, Matt Sloan;November 17, 2020;2020;Action-Adventure, Animation, Comedy;On the festive Life Day, Rey and BB-8 embark on an epic adventure across Star Wars history.;TV-Y7-FV;48 min;United States
s365;Movie;Home Alone;Chris Columbus;Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Roberts Blossom, Catherine O'Hara;November 13, 2020;1990;Comedy, Family;When Kevin is home while his family goes on a Christmas trip, he must defend his home from burglars.;PG;103 min;United States
s366;Movie;Home Alone 2: Lost in New York;Chris Columbus;Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Devin Ratray, Catherine O'Hara;November 13, 2020;1992;Comedy, Family;Kevin is home alone in NYC but won't be for long since the Wet Bandits are also in the Big Apple.;PG;121 min;United States
s367;Movie;Home Alone 3;Raja Gosnell;Alex D. Linz, Haviland Morris, Olek Krupa;November 13, 2020;1997;Comedy, Family;A gang of criminals come up against 8 year-old Alex Pruitt, who is home alone with the chicken pox.;PG;103 min;United States
